stratum,n,variable,count,mean,std,min,25%,50%,75%,max
all_runs,240,requirement_coverage,209.0,0.6782296650717703,0.14358105974785382,0.5,0.5,0.6666666666666666,0.875,0.875
all_runs,240,n_states,240.0,3.5833333333333335,0.641433193047923,2.0,3.0,4.0,4.0,4.0
all_runs,240,n_events,240.0,4.258333333333334,1.2609077777493651,2.0,4.0,4.0,5.0,7.0
all_runs,240,n_transitions,240.0,5.379166666666666,1.3940936878846129,3.0,4.0,5.0,6.25,9.0
all_runs,240,n_unreachable_states,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_runs,240,missing_transitions,209.0,2.7607655502392343,1.8579846886944178,0.0,1.0,3.0,4.0,5.0
all_runs,240,extra_transitions,209.0,3.6985645933014353,2.212301239853136,0.0,2.0,4.0,5.0,8.0
all_runs,240,behavioral_pass_rate,209.0,0.48732291959846136,0.27149678816909917,0.1666666666666666,0.25,0.3529411764705882,0.6666666666666666,1.0
behaviourally_scored,209,requirement_coverage,209.0,0.6782296650717703,0.14358105974785382,0.5,0.5,0.6666666666666666,0.875,0.875
behaviourally_scored,209,n_states,209.0,3.521531100478469,0.6656153531184179,2.0,3.0,4.0,4.0,4.0
behaviourally_scored,209,n_events,209.0,4.177033492822966,1.3054062158178636,2.0,4.0,4.0,5.0,7.0
behaviourally_scored,209,n_transitions,209.0,5.358851674641149,1.4479530053763598,3.0,4.0,5.0,7.0,9.0
behaviourally_scored,209,n_unreachable_states,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
behaviourally_scored,209,missing_transitions,209.0,2.7607655502392343,1.8579846886944178,0.0,1.0,3.0,4.0,5.0
behaviourally_scored,209,extra_transitions,209.0,3.6985645933014353,2.212301239853136,0.0,2.0,4.0,5.0,8.0
behaviourally_scored,209,behavioral_pass_rate,209.0,0.48732291959846136,0.27149678816909917,0.1666666666666666,0.25,0.3529411764705882,0.6666666666666666,1.0
g2_pass,189,requirement_coverage,189.0,0.6655643738977072,0.14236853294602095,0.5,0.5,0.625,0.75,0.875
g2_pass,189,n_states,189.0,3.497354497354497,0.6812405660040803,2.0,3.0,4.0,4.0,4.0
g2_pass,189,n_events,189.0,4.169312169312169,1.3260523933481332,2.0,4.0,4.0,5.0,7.0
g2_pass,189,n_transitions,189.0,5.285714285714286,1.4487181211432663,3.0,4.0,5.0,6.0,9.0
g2_pass,189,n_unreachable_states,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g2_pass,189,missing_transitions,189.0,2.7354497354497354,1.8258960009366998,0.0,1.0,3.0,4.0,5.0
g2_pass,189,extra_transitions,189.0,3.6084656084656084,2.203752185920465,0.0,2.0,4.0,5.0,8.0
g2_pass,189,behavioral_pass_rate,189.0,0.4892883079157589,0.2730400403989982,0.1666666666666666,0.25,0.3529411764705882,0.6666666666666666,1.0
full_behavioural_pass,30,requirement_coverage,30.0,0.736111111111111,0.07991055024756404,0.625,0.6666666666666666,0.75,0.75,0.875
full_behavioural_pass,30,n_states,30.0,3.1666666666666665,0.3790490217894517,3.0,3.0,3.0,3.0,4.0
full_behavioural_pass,30,n_events,30.0,4.166666666666667,0.3790490217894517,4.0,4.0,4.0,4.0,5.0
full_behavioural_pass,30,n_transitions,30.0,5.666666666666667,0.9589266029707684,4.0,5.0,6.0,6.0,7.0
full_behavioural_pass,30,n_unreachable_states,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_behavioural_pass,30,missing_transitions,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_behavioural_pass,30,extra_transitions,30.0,0.16666666666666666,0.3790490217894517,0.0,0.0,0.0,0.0,1.0
full_behavioural_pass,30,behavioral_pass_rate,30.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
